1816→31400,2
1817→27757,2
1818→26685,14
1819→35292,6
1820→36417,2
1821→20572,6
1822→40497,8
1823→21666,202
1824→37703,2
1825→39699,2
1826→24314,80
1827→27591,8
1828→35868,2
1829→34186,2
1830→35266,30
1831→29639,2
1832→37531,2
1833→32043,8
1834→38579,2
1835→40463,2
1836→37155,10
1837→21030,8
1838→24542,2
1839→32427,2
1840→25490,4
1841→21202,66
1842→31090,2
1843→26027,6
1844→30142,42
1845→35430,8
1846→23555,28
1847→36428,2
1848→39460,2
1849→22028,4
1850→38780,2
1851→33368,6
1852→29898,2
1853→31867,10
1854→27902,8
1855→28176,4
1856→20129,386
1857→39838,2
1858→24589,2
1859→20915,6
1860→36870,86
1861→31893,2
1862→37956,158
1863→32418,4
1864→24119,4
1865→29606,2
1866→30519,10
1867→35857,2
1868→38774,2
1869→21205,24
1870→40232,8
1871→26020,18
1872→35437,2
1873→26212,6
1874→38926,2
